STATE,COUNTY,POPESTIMATE2017
13,133,17281
13,135,920260
13,137,44567
13,139,199335
13,141,8561
13,143,29256
13,145,33915
13,147,25794
13,149,11730
13,151,225813
13,153,153479
13,155,9410
13,157,67519
13,159,13964
13,161,15025
13,163,15648
13,165,8767
13,167,9788
13,169,28470
13,171,18599
13,173,10425
13,175,47330
13,177,29470
13,179,61386
13,181,7880
13,183,19014
13,185,115489
13,187,32873
13,189,21498
13,191,14106
13,193,13314
13,195,29302
13,197,8450
13,199,21049
13,201,5838
13,205,22292
13,207,27113
13,209,9031
13,211,18412
13,213,39782
13,215,194058
13,217,108078
13,219,38028
13,221,14877
13,223,159445
13,225,27099
13,227,31588
13,229,19307
13,231,18217
13,233,42085
13,235,11201
13,237,21730
13,239,2358
13,241,16602
13,243,7075
13,245,201800
13,247,90312
13,249,5213
13,251,13953
13,253,8292
13,255,65380
13,257,25890
13,259,5985
13,261,29847
13,263,6249
13,265,1628
13,267,25334
13,269,8142
13,271,15989
13,273,8729
13,275,44779
13,277,40598
13,279,26999
13,281,11506
13,283,6740
13,285,69786
13,287,7961
13,289,8174
13,291,23459
13,293,26135
13,295,68939
13,297,91600
13,299,35871
13,301,5303
13,303,20313
13,305,29817
13,307,2605
13,309,7952
13,311,29453
13,313,104658
13,315,8800
13,317,9892
13,319,8959
13,321,20533
15,1,200381
15,3,988650
15,5,88
15,7,72159
15,9,166260
16,1,456849
16,3,4147
16,5,85269
16,7,6028
16,9,9184
16,11,45927
16,13,22024
16,15,7290
16,17,43560
16,19,114595
16,21,11922
16,23,2602
16,25,1102
16,27,216699
16,29,7034
16,31,23664
16,33,873
16,35,8546
16,37,4172
16,39,26823
16,41,13564
16,43,13094
16,45,17379
16,47,15124
16,49,16369
16,51,28446
16,53,23627
16,55,157637
16,57,39333
16,59,7875
16,61,3887
16,63,5318
16,65,39141
16,67,20729
16,69,40385
16,71,4427
16,73,11628
16,75,23215
16,77,7600
16,79,12542
16,81,11381
16,83,85124
16,85,10687
16,87,10121
17,1,66234
17,3,6315
17,5,16948
17,7,53513
17,9,6716
17,11,33243
17,13,4833
17,15,14518
17,17,12505
17,19,209399
17,21,33102
17,23,15767
17,25,13269
17,27,37614
17,29,51979
17,31,5211263
17,33,18961
17,35,10908
17,37,104733
17,39,15942
17,41,19748
17,43,930128
17,45,17328
17,47,6486
17,49,34132
17,51,21784
17,53,13280
17,55,39041
17,57,35110
17,59,5080
17,61,13174
17,63,50586
17,65,8194
17,67,18020
17,69,4046
17,71,6795
17,73,49328
17,75,27876
17,77,58284
17,79,9578
17,81,38179
17,83,21941
17,85,21594
17,87,12900
17,89,534667
17,91,109605
17,93,126218
17,95,50638
17,97,703520
17,99,110067
17,101,16168
17,103,34406
17,105,36518
17,107,29245
17,109,30823
17,111,309122
17,113,172290
17,115,105801
17,117,45446
17,119,265428
17,121,37902
17,123,11730
17,125,13715
17,127,14344
17,129,12245
17,131,15618
17,133,34097
17,135,28790
17,137,33798
17,139,14688
17,141,51063
17,143,183011
17,145,21285
17,147,16445
17,149,15821
17,151,4325
17,153,5509
17,155,5727
17,157,32423
17,159,15901
17,161,144808
17,163,262479
17,165,24102
17,167,196452
17,169,7035
17,171,5002
17,173,21719
17,175,5434
17,177,45054
17,179,133526
17,181,17000
17,183,77909
17,185,11489
17,187,17167
17,189,14030
17,191,16495
17,193,13938
17,195,56118
17,197,692661
17,199,67328
17,201,284778
17,203,38726
18,1,35491
18,3,372877
18,5,82040
18,7,8613
18,9,11976
18,11,65875
18,13,15035
18,15,20039
18,17,37994
18,19,116973
18,21,26198
18,23,32317
18,25,10566
18,27,33113
18,29,49741
18,31,26737
18,33,42836
18,35,115184
18,37,42558
18,39,205032
18,41,23209
18,43,77071
18,45,16505
18,47,22619
18,49,20059
18,51,33576
18,53,66491
18,55,32177
18,57,323747
18,59,74985
18,61,39898
18,63,163685
18,65,48476
18,67,82363
18,69,36337
18,71,43884
18,73,33447
18,75,20945
18,77,32089
18,79,27626
18,81,153897
18,83,37508
18,85,79206
18,87,39303
18,89,485640
18,91,110029
18,93,45666
18,95,129498
18,97,950082
18,99,46498
18,101,10215
18,103,35845
18,105,146986
18,107,38525
18,109,69713
18,111,14130
18,113,47452
18,115,5828
18,117,19426
18,119,20839
18,121,16886
18,123,19081
18,125,12365
18,127,168404
18,129,25595
18,131,12534
18,133,37702
18,135,24922
18,137,28442
18,139,16645
18,141,270434
18,143,23870
18,145,44395
18,147,20394
18,149,22893
18,151,34484
18,153,20746
18,155,10696
18,157,190587
18,159,15128
18,161,7200
18,163,181616
18,165,15505
18,167,107516
18,169,31443
18,171,8201
18,173,62530
18,175,27827
18,177,66185
18,179,27984
18,181,24182
18,183,33756
19,1,7054
19,3,3686
19,5,13884
19,7,12352
19,9,5578
19,11,25642
19,13,132648
